Parameter;Value
Crystal System;orthorhombic
Space Group;C m c e (# )
Unit cell lengths;a = 18.5310 Å, b = 13.3550 Å, c = 9.6360 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2384.7 cubic Å
Framework density;20.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;4.43 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.21 Å, b: 3.38 Å, c: 3.66 Å
Accessible volume:;4.02 %
