Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 24.8673 Å, b = 24.8673 Å, c = 24.8673 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;15377.5 cubic Å
Framework density;15.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3- and 3-dimensional
Maximum diameter of a sphere;
that can be included;10.47 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.05 Å, b: 4.05 Å, c: 4.05 Å
Accessible volume:;14.12 %
