Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 10.3290 Å, b = 10.3290 Å, c = 34.3640 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3666.2 cubic Å
Framework density;17.5 T/1000 cubic Å
Ring sizes (# T-atoms);6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;7.74 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.11 Å, b: 2.11 Å, c: 2.11 Å
Accessible volume:;0.00 %
