Parameter;Value
Crystal System;orthorhombic
Space Group;P m m n (# 59)
Unit cell lengths;a = 23.7289 Å, b = 11.2932 Å, c = 14.4719 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3878.1 cubic Å
Framework density;17.0 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.35 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.29 Å, b: 5.97 Å, c: 1.92 Å
Accessible volume:;16.60 %
