Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 26.6887 Å, b = 26.6887 Å, c = 12.9078 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;9194.1 cubic Å
Framework density;14.8 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.25 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.38 Å, b: 6.38 Å, c: 6.66 Å
Accessible volume:;23.19 %
