Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 13.6806 Å, b = 13.6806 Å, c = 44.1601 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;7157.8 cubic Å
Framework density;15.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.78 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.65 Å, b: 3.65 Å, c: 3.65 Å
Accessible volume:;17.20 %
