Parameter;Value
Crystal System;trigonal
Space Group;P -3 m 1 (# 164)
Unit cell lengths;a = 12.9371 Å, b = 12.9371 Å, c = 10.0312 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1453.9 cubic Å
Framework density;16.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.87 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.02 Å, b: 3.02 Å, c: 1.9 Å
Accessible volume:;10.38 %
