Parameter;Value
Crystal System;trigonal
Space Group;P -3 m 1 (# 164)
Unit cell lengths;a = 13.2261 Å, b = 13.2261 Å, c = 12.5838 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1906.4 cubic Å
Framework density;15.7 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.08 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.46 Å, b: 3.46 Å, c: 2.48 Å
Accessible volume:;15.29 %
