Parameter;Value
Crystal System;orthorhombic
Space Group;F m m m (# 69)
Unit cell lengths;a = 27.8261 Å, b = 26.0805 Å, c = 13.9443 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;10119.6 cubic Å
Framework density;15.0 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;8.54 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.06 Å, b: 7.03 Å, c: 7.03 Å
Accessible volume:;22.28 %
