Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 18.5060 Å, b = 18.5060 Å, c = 5.2680 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1804.1 cubic Å
Framework density;17.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.66 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.44 Å, b: 2.44 Å, c: 6.28 Å
Accessible volume:;9.60 %
