Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/c 1 (# 15)
Unit cell lengths;a = 20.8842 Å, b = 9.1576 Å, c = 8.6056 Å
Unit cell angles;α = 90.000°, β = 89.626°, γ = 90.000°
Volume;1645.8 cubic Å
Framework density;19.5 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;4.21 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.07 Å, b: 1.8 Å, c: 3.61 Å
Accessible volume:;3.67 %
