Parameter;Value
Crystal System;orthorhombic
Space Group;P n m a (# 62)
Unit cell lengths;a = 14.8440 Å, b = 8.5943 Å, c = 9.7838 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1248.2 cubic Å
Framework density;19.2 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;3.24 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.51 Å, b: 1.81 Å, c: 1.53 Å
Accessible volume:;0.00 %
