Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 13.6770 Å, b = 12.6070 Å, c = 18.4970 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3189.4 cubic Å
Framework density;15.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.33 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.84 Å, b: 3.84 Å, c: 3.64 Å
Accessible volume:;17.31 %
