Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 9.8010 Å, b = 9.8010 Å, c = 10.1580 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;975.8 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.97 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.32 Å, b: 3.32 Å, c: 3.32 Å
Accessible volume:;9.38 %
