Parameter;Value
Crystal System;orthorhombic
Space Group;C m m m (# 65)
Unit cell lengths;a = 16.9010 Å, b = 20.4000 Å, c = 5.2550 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1811.8 cubic Å
Framework density;17.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.32 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.68 Å, b: 1.68 Å, c: 5.45 Å
Accessible volume:;8.12 %
