Parameter;Value
Crystal System;cubic
Space Group;P a -3 (# 205)
Unit cell lengths;a = 14.9700 Å, b = 14.9700 Å, c = 14.9700 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3354.8 cubic Å
Framework density;14.3 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.35 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.74 Å, b: 3.74 Å, c: 3.74 Å
Accessible volume:;14.39 %
