Parameter;Value
Crystal System;hexagonal
Space Group;P 6/m m m (# 191)
Unit cell lengths;a = 18.8677 Å, b = 18.8677 Å, c = 11.6332 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;3586.6 cubic Å
Framework density;12.8 T/1000 cubic Å
Ring sizes (# T-atoms);18 10 6 5 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;11.74 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.29 Å, b: 2.29 Å, c: 11.2 Å
Accessible volume:;25.10 %
