Parameter;Value
Crystal System;monoclinic
Space Group;C 1 c 1 (# 9)
Unit cell lengths;a = 20.4085 Å, b = 13.3040 Å, c = 20.1656 Å
Unit cell angles;α = 90.000°, β = 102.330°, γ = 90.000°
Volume;5349.0 cubic Å
Framework density;17.2 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.85 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.65 Å, b: 4.65 Å, c: 4.65 Å
Accessible volume:;10.75 %
