Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 18.5780 Å, b = 18.5780 Å, c = 18.5780 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6412.1 cubic Å
Framework density;15.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.67 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.04 Å, b: 4.04 Å, c: 4.04 Å
Accessible volume:;17.91 %
