Parameter;Value
Crystal System;orthorhombic
Space Group;C m c e (# )
Unit cell lengths;a = 8.7240 Å, b = 20.0600 Å, c = 10.1660 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1779.1 cubic Å
Framework density;18.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;4.93 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.63 Å, b: 2.45 Å, c: 2.68 Å
Accessible volume:;5.73 %
