Parameter;Value
Crystal System;tetragonal
Space Group;P 42/m m c (# 131)
Unit cell lengths;a = 7.1630 Å, b = 7.1630 Å, c = 20.8760 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1071.1 cubic Å
Framework density;16.8 T/1000 cubic Å
Ring sizes (# T-atoms);9 8 6 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.15 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.78 Å, b: 3.78 Å, c: 3.77 Å
Accessible volume:;7.57 %
