Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 14.9190 Å, b = 14.9190 Å, c = 14.9190 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3320.6 cubic Å
Framework density;14.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.43 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.06 Å, b: 4.06 Å, c: 4.06 Å
Accessible volume:;20.63 %
