Parameter;Value
Crystal System;orthorhombic
Space Group;I m m m (# 71)
Unit cell lengths;a = 26.0358 Å, b = 25.5895 Å, c = 15.8248 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;10543.2 cubic Å
Framework density;12.1 T/1000 cubic Å
Ring sizes (# T-atoms);20 14 12 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.99 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.84 Å, b: 6.11 Å, c: 6.11 Å
Accessible volume:;33.08 %
