Parameter;Value
Crystal System;cubic
Space Group;P m -3 m (# 221)
Unit cell lengths;a = 11.9190 Å, b = 11.9190 Å, c = 11.9190 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1693.2 cubic Å
Framework density;14.2 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;11.05 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.21 Å, b: 4.21 Å, c: 4.21 Å
Accessible volume:;21.43 %
