Parameter;Value
Crystal System;orthorhombic
Space Group;P m m a (# 51)
Unit cell lengths;a = 19.9055 Å, b = 7.5460 Å, c = 9.0683 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1362.1 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.85 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.6 Å, b: 4.24 Å, c: 3.05 Å
Accessible volume:;9.02 %
