Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m m c (# 194)
Unit cell lengths;a = 15.9499 Å, b = 15.9499 Å, c = 31.0796 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;6847.5 cubic Å
Framework density;11.1 T/1000 cubic Å
Ring sizes (# T-atoms);16 15 6 5 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;11.33 Å
Maximum diameter of a sphere;
that can diffuse along;a: 9.35 Å, b: 9.35 Å, c: 8.67 Å
Accessible volume:;40.90 %
