Parameter;Value
Crystal System;orthorhombic
Space Group;P n m a (# 62)
Unit cell lengths;a = 20.0900 Å, b = 19.7380 Å, c = 13.1420 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;5211.3 cubic Å
Framework density;18.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.36 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.7 Å, b: 4.46 Å, c: 4.46 Å
Accessible volume:;9.81 %
