Parameter;Value
Crystal System;orthorhombic
Space Group;A m m 2 (# 38)
Unit cell lengths;a = 12.7177 Å, b = 21.9894 Å, c = 38.7639 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;10840.5 cubic Å
Framework density;16.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.98 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.44 Å, b: 5.38 Å, c: 5.03 Å
Accessible volume:;17.13 %
