Parameter;Value
Crystal System;orthorhombic
Space Group;P b c m (# 57)
Unit cell lengths;a = 6.9180 Å, b = 14.8700 Å, c = 17.2360 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1773.1 cubic Å
Framework density;18.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.83 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.63 Å, b: 3.52 Å, c: 1.58 Å
Accessible volume:;8.07 %
