Parameter;Value
Crystal System;hexagonal
Space Group;P 6/m m m (# 191)
Unit cell lengths;a = 17.2099 Å, b = 17.2099 Å, c = 12.7921 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;3281.2 cubic Å
Framework density;16.5 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.66 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.22 Å, b: 6.22 Å, c: 2.61 Å
Accessible volume:;15.63 %
