Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 25.2211 Å, b = 5.2562 Å, c = 15.0222 Å
Unit cell angles;α = 90.000°, β = 103.890°, γ = 90.000°
Volume;1933.2 cubic Å
Framework density;16.6 T/1000 cubic Å
Ring sizes (# T-atoms);14 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7.94 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.65 Å, b: 6.7 Å, c: 2.42 Å
Accessible volume:;15.69 %
