Parameter;Value
Crystal System;triclinic
Space Group;P -1 (# 2)
Unit cell lengths;a = 8.7504 Å, b = 9.6479 Å, c = 10.2719 Å
Unit cell angles;α = 105.720°, β = 100.190°, γ = 97.020°
Volume;808.2 cubic Å
Framework density;17.3 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.85 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.61 Å, b: 3.2 Å, c: 2.91 Å
Accessible volume:;9.78 %
