Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 18.8890 Å, b = 22.8023 Å, c = 29.0815 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;12525.8 cubic Å
Framework density;12.1 T/1000 cubic Å
Ring sizes (# T-atoms);14 6 5 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.44 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.71 Å, b: 6.71 Å, c: 7.78 Å
Accessible volume:;33.37 %
