Atom id,Atom,x,y,z
a1,C,0.010100,0.006500,0.379300
a2,C,-0.621500,-1.298000,-0.110900
a3,C,1.459100,0.085200,-0.105400
a4,O,-0.726300,1.116300,-0.138400
a5,H,-0.010600,0.033200,1.468800
a6,H,-1.653800,-1.354100,0.234400
a7,H,-0.600900,-1.324700,-1.200400
a8,H,-0.059800,-2.144500,0.284000
a9,H,1.479800,0.058500,-1.194900
a10,H,1.909100,1.014600,0.243800
a11,H,2.020900,-0.761300,0.289500
a12,H,-1.655500,1.131000,0.129100
