Atom id,Atom,x,y,z
a1,C,0.765000,0.000000,-0.000000
a2,C,-0.765000,-0.000000,-0.000000
a3,H,1.128300,-0.513800,0.890000
a4,H,1.128300,-0.513800,-0.890000
a5,H,1.128300,1.027700,0.000000
a6,H,-1.128300,0.513800,0.890000
a7,H,-1.128300,0.513800,-0.890000
a8,H,-1.128300,-1.027700,0.000000
