Atom id,Atom,x,y,z
a1,C,0.164100,-1.372600,-0.000200
a2,C,-1.106600,-0.828400,0.000100
a3,C,-1.270700,0.544200,-0.000000
a4,C,-0.164100,1.372600,0.000000
a5,C,1.106600,0.828400,0.000600
a6,C,1.270700,-0.544200,-0.000700
a7,H,0.292300,-2.444900,0.004400
a8,H,-1.971200,-1.475600,0.000000
a9,H,-2.263500,0.969300,-0.000500
a10,H,-0.292300,2.444900,-0.000800
a11,H,1.971200,1.475600,-0.000100
a12,H,2.263500,-0.969300,0.000200
