Atom1,Atom2,Order
a1,a2,1
a1,a3,1
a3,a4,2
a4,a5,1
a5,a6,2
a6,a7,1
a7,a8,2
a3,a8,1
a1,a9,1
a1,a10,1
a2,a11,1
a2,a12,1
a2,a13,1
a4,a14,1
a5,a15,1
a6,a16,1
a7,a17,1
a8,a18,1
