Atom1,Atom2,Order
a1,a2,1
a2,a3,1
a3,a4,1
a3,a5,1
a3,a6,1
a6,a7,1
a6,a8,1
a6,a9,1
a9,a10,1
a9,a11,1
a9,a12,1
a12,a13,1
a12,a14,1
a2,a14,1
a12,a15,1
a15,a16,1
a1,a17,1
a2,a18,1
a5,a19,1
a8,a20,1
a11,a21,1
a15,a22,1
a15,a23,1
a16,a24,1
