Atom id,Atom,x,y,z
a1,C,-0.925900,-0.000000,0.002400
a2,C,-0.234700,-1.197200,0.001200
a3,C,1.147600,-1.197200,-0.000300
a4,C,1.838800,0.000000,-0.001200
a5,C,1.147600,1.197200,-0.001000
a6,C,-0.234700,1.197200,0.002000
a7,C,-2.432900,-0.000000,-0.002300
a8,H,-0.774700,-2.132500,0.001900
a9,H,1.687600,-2.132500,-0.000500
a10,H,2.918800,0.000000,-0.001700
a11,H,1.687600,2.132500,-0.001000
a12,H,-0.774700,2.132500,0.002500
a13,H,-2.799400,-0.002800,1.024200
a14,H,-2.794600,0.891400,-0.514800
a15,H,-2.794600,-0.888600,-0.519600
